uses_https,nonstandard_port,has_suspicious_words,url_shortener,subdomain_count,has_at_symbol,has_phishing_query_params,response_time_ms,has_hyphen,query_params_count,has_double_slash,is_ip_domain,safe_browsing,redirect_count,listed_in_rbl,short_domain,ip_country,indexed_by_google,domain_age_days,domain_days_to_expiration,url,label
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,6468,106,corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,1,0,US,1,10708,1346,myspace.com/video/vid/30602581,0
0,0,0,0,1,0,0,-1.0,1,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,1
0,0,0,0,1,0,0,1412.29,0,1,0,0,0,0,1,0,HU,1,-1,-1,http://www.szabadmunkaero.hu/cimoldal.html?start=12,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,http://larcadelcarnevale.com/catalogo/palloncini,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,10120,-1,quickfacts.census.gov/qfd/maps/iowa_map.html,0
0,0,0,0,0,0,0,-1.0,0,2,0,0,0,-1,1,0,US,1,8986,166,nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,8263,-1,uk.linkedin.com/pub/steve-rubenstein/8/718/755,0
0,0,0,0,1,0,0,3338.78,0,0,0,0,0,0,1,0,VN,1,5444,34,http://www.vnic.co/khach-hang.html,1
0,0,0,0,0,0,0,-1.0,1,0,0,0,0,1,1,0,US,1,9191,1765,baseball-reference.com/players/h/harrige01.shtml,0
0,0,1,0,4,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,signin.eby.de.zukruygxctzmmqi.civpro.co.za,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,1,US,1,10231,1455,192.com/atoz/people/oakley/patrick/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,0,0,US,1,-1,580,nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,0,0,US,1,8266,134,escholarship.org/uc/item/5xt4952c,0
0,0,0,0,0,0,0,-1.0,0,1,0,0,0,-1,1,0,US,1,9444,1878,songfacts.com/detail.php?id=13410,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,9436,790,casamanana.org/education/blba/,0
0,0,0,0,0,0,0,917.25,0,0,0,0,0,1,1,0,US,1,9393,103,http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,0
0,0,0,0,1,0,0,302.69,0,0,0,0,0,0,1,0,US,1,693,37,http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,BR,1,8921,209,en.wikipedia.org/wiki/North_Dakota,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,9630,198,soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,2172,19,perfectpeople.net/celebrity-star/6920/gidget-gein.htm,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,14407,773,media.caltech.edu/press_releases/13186,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,1,0,CA,1,6887,286,wikiobits.com/Obits/TonyProudfoot,0
0,0,0,0,1,0,0,-1.0,0,3,0,0,0,0,1,0,US,1,9722,138,vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,0
0,0,0,0,0,0,0,-1.0,0,4,0,0,0,-1,-1,0,Unknown,1,71,293,http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,1
0,0,0,0,1,0,0,-1.0,0,3,0,0,0,1,1,0,US,1,11108,-1,movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,10060,1626,cyndislist.com/us/pa/counties,0
0,0,0,0,1,0,0,116.14,0,2,0,0,0,0,0,0,US,1,4000,382,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,1
0,0,1,0,1,0,0,434.44,0,0,0,0,0,0,1,0,IT,1,10563,329,http://www.raci.it/component/user/reset.html,1
1,0,0,0,1,0,0,1384.67,0,1,0,0,0,1,0,0,BR,1,10137,1184,https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,7861,539,psychology.wikia.com/wiki/Phonemes,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,0,0,US,1,9752,108,info.centriq.com/content/fivereasons,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,10099,126,articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,CA,1,10112,113,infinitysw.com/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,strawberrycreekgardens.com/,0
0,0,0,0,0,0,0,-1.0,1,0,0,0,0,-1,-1,0,Unknown,1,5824,19,http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,US,1,10417,903,spoke.com/dir/p/desantis/nick,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,11067,256,wordsmith.org/words/pignus.html,0
0,0,1,0,0,0,0,2991.5,0,5,0,0,0,2,1,0,KR,1,10719,239,http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,10547,-1,http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,1
0,0,0,0,1,0,0,1230.07,0,0,0,0,0,1,0,0,US,1,6483,3378,http://www.kingsmillshotel.com/spring/mothers-day,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,12152,2843,almanac.logos.com/Denominations,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,7861,539,gaming.wikia.com/wiki/Backbreaker_(video_game),0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,1,HU,1,-1,-1,ceu.hu/,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,9799,-1,registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,8263,137,linkedin.com/pub/george-cleveland/7/80a/599,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,0,0,US,1,-1,-1,sunshinemills.com/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,1,0,HK,1,7763,636,agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,1,1,BR,1,9034,510,ctv.ca/generic/WebSpecials/sponsorship_scandal/,0
0,0,0,0,1,0,0,580.39,0,0,0,0,0,1,1,0,US,1,8097,303,http://www.approvi.com.br/ck.htm,1
0,0,0,0,1,0,0,-1.0,0,8,0,0,0,-1,-1,0,Unknown,1,-1,-1,http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,US,1,2978,308,veoox.com/tags/game.html,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,0,0,0,BR,1,9087,43,chuckwalkertrio.blogspot.com/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,aerosolesshoes.org/,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,http://www.juventudelirica.com.br/index.html,1
0,0,0,0,1,0,0,127.92,0,0,0,0,0,0,0,0,US,1,6076,132,http://www.myenrg.com/southwest/9-texas,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,9600,261,recipelink.com/msgbrd/board_14/2007/DEC/29094.html,0
0,0,0,0,1,0,0,3349.8,0,1,0,0,0,2,1,0,ES,1,9225,270,http://www.musimagen.com/lista_socios.php?letra=\303%91,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,-1,-1,ideas.repec.org/f/pma235.html,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,-1,0,Unknown,1,-1,-1,peopleaz.org/firstname/Fowlkes/6,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,9237,2815,orensamtraktrip.wordpress.com/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,HK,1,214,150,retajconsultancy.com,1
0,0,0,0,0,0,0,-1.0,0,1,0,0,0,2,1,0,BR,1,10562,393,alexa.com/whatshot?q=james+arness,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,6808,131,jpopasia.com/group/arashi/discography/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,2,1,0,BR,1,7809,226,kitsapsun.com/photos/2011/feb/25/177999/,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,11108,215,local.yahoo.com/info-42862457-oakland-international-airport-oakland,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,9583,278,tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,8991,2696,articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,0
0,0,0,0,0,0,0,-1.0,0,1,0,0,0,2,0,0,US,1,9411,1546,broadwaystars.com/classic/?source=www.playbill.com,0
0,0,0,0,1,0,0,1619.4,1,0,0,0,0,1,1,0,DE,1,-1,-1,http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,US,1,6213,360,forums.networkinfrastructure.info/motorola-wireless-lan-switches/,0
0,0,0,0,0,0,0,-1.0,0,1,0,0,0,2,1,0,BR,1,7427,242,youtube.com/watch?v=mwpoPQ1SPJU,0
0,0,0,0,0,0,0,-1.0,1,0,0,0,0,1,1,0,US,1,1970,221,mccall-idchamber.org/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,SG,1,-1,629,chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,10284,308,friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,0
0,0,0,0,0,0,0,2355.34,0,0,0,0,0,1,0,0,ES,1,7882,153,http://asociacionkaribu.org/index.php/servicios/centro-jambo,1
0,0,0,0,1,0,0,719.31,1,0,0,0,0,1,1,0,DE,1,-1,-1,http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,1
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,1,0,US,1,9333,163,pipl.com/directory/name/Whissell/180,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,US,1,7014,290,spokeo.com/John+Collet,0
0,0,0,0,1,0,0,541.13,0,2,0,0,0,0,1,0,PL,1,819,276,http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,1
0,0,0,0,0,0,0,686.26,0,0,0,0,0,3,1,0,US,1,-1,-1,http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,0
0,0,1,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,US,1,10325,1728,faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,0
0,0,0,0,0,0,0,-1.0,0,0,0,0,0,1,1,0,BR,1,6428,370,duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,0
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,-1,1,0,RU,1,3214,-1,alexpay2.beget.tech,1
0,0,0,0,0,0,0,1260.23,0,0,0,0,0,1,1,0,LU,1,5921,287,http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,0
0,0,0,0,1,0,0,1431.18,0,2,0,0,0,0,1,0,DE,1,4432,315,http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,1
0,0,0,0,1,0,0,-1.0,0,0,0,0,0,1,1,0,BR,1,8921,209,en.wikipedia.org/wiki/Lloyd_Bacon,0
